,edades,genero,salarios,paises,titulo_academico,puesto_trabajo,años_experiencia,sector_laboral,tamaños_empresa,lenguaje_programacion
379,30-44,Hombre,alto,India,Master,Business Analyst,3-5 years,Servicio en línea/Servicios basados ​​en Internet,Multinacional,"Python, SQL"
380,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Data Analyst,< 1 years,Tecnológico,Multinacional,"Python, SQL"
381,30-44,Hombre,alto,Otros,Master,Data Analyst,1-3 years,Fabricación,Multinacional,"Python, SQL"
382,30-44,Mujes,No sabe/No contesta,Egipto,Doctorado Profesional,Data Analyst,10-20 years,Gobierno/servicio público,Startup,"Python, SQL, C, C++"
383,18-29,Hombre,bajo,India,Grado Universitario,Data Analyst,1-3 years,Servicio en línea/Servicios basados ​​en Internet,Multinacional,"Python, SQL"
384,30-44,Mujes,No sabe/No contesta,India,Doctorado,Data Analyst,3-5 years,Académico/Educación,Startup,"Python, R, Julia, MATLAB"
385,18-29,Hombre,bajo,India,Grado Universitario,Data Analyst,< 1 years,Hostelería/Entretenimiento/Deportes,Pequeña,Python
386,18-29,Mujes,No sabe/No contesta,India,Prefiero no responder,Data Analyst,< 1 years,Otros,Startup,"Python, R, SQL, C, Java"
387,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Data Analyst,< 1 years,,No sabe/No contesta,"Python, SQL, C, C++, Java, Javascript"
388,18-29,Mujes,bajo,India,Grado Universitario,Data Analyst,1-3 years,Médico/farmacéutico,Grande,"Python, SQL, C++, Javascript, MATLAB"
389,18-29,Hombre,bajo,Mexico,Grado Universitario,Business Analyst,5-10 years,Contabilidad/Finanzas,Grande,"Python, R, SQL, MATLAB"
390,30-44,Hombre,alto,India,Master,Business Analyst,3-5 years,Energía/Minería,Mediana,Python
391,30-44,Hombre,medio,India,Grado Universitario,Data Analyst,5-10 years,Otros,Pequeña,"Python, SQL, C"
392,30-44,Hombre,bajo,Estados Unidos,Master,Data Analyst,< 1 years,Académico/Educación,Grande,"Python, R, SQL"
393,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Data Analyst,1-3 years,Académico/Educación,Pequeña,"Python, C"
394,30-44,Hombre,alto,Alemania,Master,Data Analyst,1-3 years,Tecnológico,Multinacional, SQL
395,30-44,Hombre,medio,Otros,Master,Data Analyst,< 1 years,Seguro/Evaluación de Riesgos,Mediana,"Python, SQL"
396,18-29,Prefiero no decirlo,bajo,Polonia,Master,Data Analyst,3-5 years,Marketing/CRM,Grande,"Python, SQL"
397,30-44,Hombre,alto,Hong Kong (S.A.R.),Master,Data Analyst,10-20 years,Marketing/CRM,Multinacional,"Python, SQL"
398,18-29,Hombre,No sabe/No contesta,Nigeria,Master,Data Analyst,3-5 years,Marketing/CRM,Startup,"Python, R, SQL, C, C++, Java, Javascript"
399,30-44,Hombre,bajo,Reino Unido,Master,Business Analyst,1-3 years,Fabricación,Pequeña,"Python, R"
400,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, SQL, C, C++, Javascript, MATLAB"
401,45-59,Hombre,No sabe/No contesta,Reino Unido,Estudios Univertarios sin licenciatura,Business Analyst,10-20 years,,No sabe/No contesta,"Python, SQL, Other"
402,30-44,Hombre,bajo,India,Master,Data Analyst,I have never written code,Tecnológico,Mediana,No sabe/No contesta
403,60-70+,Hombre,medio,Estados Unidos,Grado Universitario,Data Analyst,< 1 years,Envío/Transporte,Startup,"Python, R"
404,18-29,Mujes,No sabe/No contesta,Corea del Sur,Prefiero no responder,Data Analyst,< 1 years,Militar/Seguridad/Defensa,Startup,Python
405,18-29,Hombre,medio,Rumania,Grado Universitario,Data Analyst,3-5 years,Radio/Comunicaciones,Multinacional,"Python, SQL, Bash"
406,18-29,Mujes,No sabe/No contesta,Estados Unidos,Master,Data Analyst,5-10 years,Académico/Educación,Pequeña," R, Other"
407,30-44,Hombre,alto,Estados Unidos,Master,Business Analyst,I have never written code,Contabilidad/Finanzas,Startup,No sabe/No contesta
408,18-29,Mujes,No sabe/No contesta,India,Prefiero no responder,Data Analyst,< 1 years,Otros,Grande,"Python, SQL"
409,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Data Analyst,I have never written code,ONG/Servicio,Startup,No sabe/No contesta
410,18-29,Hombre,No sabe/No contesta,India,Master,Data Analyst,1-3 years,Tecnológico,Startup,"Python, R, Julia"
411,18-29,Hombre,bajo,Polonia,Master,Data Analyst,1-3 years,Contabilidad/Finanzas,Multinacional,"Python, R, SQL"
412,18-29,Hombre,No sabe/No contesta,Vietnam,Prefiero no responder,Data Analyst,1-3 years,Académico/Educación,Pequeña,"Python, SQL, C++"
413,18-29,Hombre,No sabe/No contesta,India,Master,Data Analyst,3-5 years,Tecnológico,Startup,"Python, R, SQL, MATLAB"
414,30-44,Mujes,alto,Mexico,Master,Business Analyst,< 1 years,Contabilidad/Finanzas,Startup, None
415,18-29,Hombre,No sabe/No contesta,Tunez,Master,Data Analyst,3-5 years,Contabilidad/Finanzas,Mediana,"Python, R, SQL, C, C++, MATLAB"
416,18-29,Mujes,No sabe/No contesta,India,Master,Business Analyst,I have never written code,Contabilidad/Finanzas,Multinacional,No sabe/No contesta
417,18-29,Hombre,bajo,Otros,Master,Business Analyst,< 1 years,Tecnológico,Mediana,"Python, R"
418,18-29,Hombre,bajo,Sri Lanka,Master,Business Analyst,< 1 years,Tecnológico,Grande," R, SQL"
419,18-29,Mujes,bajo,India,Master,Data Analyst,< 1 years,Tecnológico,Multinacional,"Python, C++, Java"
420,18-29,Hombre,bajo,India,Master,Data Analyst,3-5 years,Tecnológico,Multinacional,"Python, C++, Java"
421,18-29,Hombre,alto,Estados Unidos,Grado Universitario,Data Analyst,5-10 years,ONG/Servicio,Startup,"Python, Javascript"
422,30-44,Hombre,alto,Alemania,Grado Universitario,Business Analyst,< 1 years,Otros,Grande,"Python, SQL, Bash"
423,45-59,Hombre,alto,Estados Unidos,Doctorado,Business Analyst,1-3 years,Académico/Educación,Pequeña," SQL, C, MATLAB"
424,18-29,Mujes,bajo,Brasil,Master,Data Analyst,1-3 years,Envío/Transporte,Pequeña,"Python, SQL"
425,30-44,Hombre,medio,India,Grado Universitario,Data Analyst,I have never written code,Contabilidad/Finanzas,Grande,No sabe/No contesta
426,18-29,Mujes,No sabe/No contesta,Nigeria,Grado Universitario,Data Analyst,< 1 years,Médico/farmacéutico,Startup, Other
427,30-44,Hombre,bajo,Pakistan,Master,Business Analyst,3-5 years,Servicio en línea/Servicios basados ​​en Internet,Startup,"Python, Javascript"
428,30-44,Hombre,bajo,Nigeria,Master,Data Analyst,10-20 years,Fabricación,Pequeña,"Python, C, C++, Javascript, MATLAB"
429,30-44,Mujes,alto,Alemania,Master,Data Analyst,10-20 years,Gobierno/servicio público,Pequeña," R, SQL"
430,45-59,Hombre,alto,Canada,Master,Data Analyst,10-20 years,Gobierno/servicio público,Mediana,"Python, R, SQL, C, C++, Java, Javascript"
431,30-44,Hombre,bajo,Nigeria,Grado Universitario,Business Analyst,< 1 years,Contabilidad/Finanzas,Startup,Python
432,30-44,Hombre,bajo,India,Master,Data Analyst,I have never written code,Ventas al por menor,Mediana,No sabe/No contesta
433,18-29,Hombre,No sabe/No contesta,India,Estudios Univertarios sin licenciatura,Data Analyst,< 1 years,ONG/Servicio,Startup,"Python, SQL, C, C++, Java, Javascript, Bash"
434,30-44,Hombre,alto,Japon,Grado Universitario,Business Analyst,1-3 years,Fabricación,Grande,Python
435,18-29,Hombre,alto,Paises Bajos,Master,Data Analyst,1-3 years,Envío/Transporte,Multinacional,"Python, SQL"
436,18-29,Prefiero no describirme,bajo,India,Grado Universitario,Data Analyst,3-5 years,Contabilidad/Finanzas,Multinacional,Python
437,30-44,Mujes,No sabe/No contesta,India,Prefiero no responder,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, C, MATLAB"
438,18-29,Mujes,alto,España,Grado Universitario,Data Analyst,1-3 years,Médico/farmacéutico,Grande, SQL
439,30-44,Hombre,alto,Estados Unidos,Master,Data Analyst,3-5 years,Gobierno/servicio público,Grande, None
440,18-29,Prefiero no decirlo,No sabe/No contesta,China,Master,Data Analyst,< 1 years,Académico/Educación,Startup,"Python, R, SQL"
441,30-44,Hombre,alto,Malasia,Grado Universitario,Business Analyst,I have never written code,Académico/Educación,Pequeña,No sabe/No contesta
442,18-29,Hombre,No sabe/No contesta,Bangladesh,Master,Business Analyst,I have never written code,Académico/Educación,Mediana,No sabe/No contesta
443,18-29,Hombre,No sabe/No contesta,Colombia,Master,Data Analyst,1-3 years,Tecnológico,Multinacional,"Python, SQL"
444,30-44,Hombre,No sabe/No contesta,Otros,Master,Data Analyst,1-3 years,Contabilidad/Finanzas,Mediana,"Python, SQL, Javascript"
445,30-44,Hombre,alto,Australia,Master,Data Analyst,1-3 years,Médico/farmacéutico,Grande," R, SQL"
446,30-44,Mujes,alto,Singapur,Master,Business Analyst,1-3 years,Seguro/Evaluación de Riesgos,Mediana,"Python, SQL"
447,30-44,Mujes,No sabe/No contesta,Estados Unidos,Master,Data Analyst,< 1 years,Académico/Educación,Startup,"Python, R, Java"
448,18-29,Hombre,No sabe/No contesta,Mexico,Master,Data Analyst,1-3 years,ONG/Servicio,Startup,"Python, MATLAB"
449,18-29,Hombre,alto,Otros,Grado Universitario,Data Analyst,5-10 years,Envío/Transporte,Multinacional,"Python, Java, Bash, Other"
450,30-44,Hombre,alto,India,Master,Business Analyst,5-10 years,Tecnológico,Multinacional,"Python, C++"
451,30-44,Hombre,alto,Estados Unidos,Doctorado,Data Analyst,1-3 years,Académico/Educación,Pequeña,"Python, R"
452,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Data Analyst,3-5 years,Tecnológico,Startup,"Python, SQL, C, C++, Java, Other"
453,18-29,Hombre,medio,India,Grado Universitario,Data Analyst,1-3 years,Seguro/Evaluación de Riesgos,Multinacional,"Python, SQL, C++"
454,30-44,Hombre,bajo,Pakistan,Master,Business Analyst,< 1 years,Marketing/CRM,Pequeña,Python
455,18-29,Hombre,alto,Estados Unidos,Master,Data Analyst,< 1 years,Otros,Mediana,"Python, R, SQL"
456,45-59,Hombre,No sabe/No contesta,Otros,Doctorado,Data Analyst,< 1 years,Gobierno/servicio público,Mediana,"Python, R"
457,45-59,Hombre,alto,Estados Unidos,Grado Universitario,Data Analyst,5-10 years,Ventas al por menor,Mediana, SQL
458,60-70+,Hombre,alto,Noruega,Doctorado,Business Analyst,20+ years,Fabricación,Multinacional,"Python, Julia"
459,18-29,Mujes,No sabe/No contesta,Otros,Master,Data Analyst,1-3 years,Tecnológico,Pequeña,"Python, SQL, Java"
460,18-29,Hombre,No sabe/No contesta,Pakistan,Master,Data Analyst,1-3 years,Otros,Startup,"Python, R, Javascript"
461,18-29,Hombre,No sabe/No contesta,Colombia,Estudios Univertarios sin licenciatura,Data Analyst,< 1 years,Contabilidad/Finanzas,Pequeña,"Python, SQL"
462,18-29,Hombre,bajo,Alemania,Master,Data Analyst,1-3 years,Ventas al por menor,Pequeña,"Python, SQL"
463,30-44,Hombre,medio,Estados Unidos,Estudios Univertarios sin licenciatura,Business Analyst,< 1 years,Negocios en línea/ventas basadas en Internet,Pequeña,Python
464,18-29,Hombre,bajo,India,Master,Data Analyst,< 1 years,Fabricación,Mediana,"Python, R, SQL"
465,18-29,Hombre,No sabe/No contesta,India,Master,Data Analyst,1-3 years,,No sabe/No contesta,"Python, SQL, C, Javascript, Bash"
466,60-70+,Hombre,No sabe/No contesta,Japon,Doctorado,Business Analyst,10-20 years,,No sabe/No contesta,"Python, Other"
467,30-44,Hombre,medio,Brasil,Grado Universitario,Data Analyst,5-10 years,Médico/farmacéutico,Grande,"Python, R"
468,45-59,Hombre,bajo,Ecuador,Grado Universitario,Data Analyst,3-5 years,Gobierno/servicio público,Pequeña," R, SQL"
469,45-59,Hombre,alto,Estados Unidos,Grado Universitario,Data Analyst,< 1 years,Tecnológico,Grande, SQL
470,18-29,Hombre,alto,Estados Unidos,Grado Universitario,Data Analyst,1-3 years,Otros,Startup,Python
471,18-29,Hombre,alto,Estados Unidos,Grado Universitario,Business Analyst,I have never written code,Energía/Minería,Multinacional,No sabe/No contesta
472,30-44,Mujes,medio,Grecia,Master,Data Analyst,< 1 years,Contabilidad/Finanzas,Mediana,Python
473,30-44,Mujes,No sabe/No contesta,India,Doctorado Profesional,Data Analyst,1-3 years,Académico/Educación,Startup,Python
474,18-29,Hombre,alto,Estados Unidos,Grado Universitario,Data Analyst,1-3 years,Académico/Educación,Grande,"Python, SQL"
475,18-29,Hombre,bajo,Brasil,Master,Data Analyst,3-5 years,Negocios en línea/ventas basadas en Internet,Grande,"Python, SQL"
476,30-44,Hombre,No sabe/No contesta,Alemania,Master,Data Analyst,< 1 years,Médico/farmacéutico,Startup,Python
477,30-44,Hombre,medio,Estados Unidos,Grado Universitario,Business Analyst,1-3 years,Académico/Educación,Startup,"Python, R"
478,18-29,Hombre,alto,España,Grado Universitario,Data Analyst,1-3 years,Energía/Minería,Multinacional,"Python, SQL"
479,18-29,Mujes,No sabe/No contesta,India,Grado Universitario,Data Analyst,< 1 years,Académico/Educación,Startup,"Python, MATLAB"
480,30-44,Hombre,bajo,India,Master,Data Analyst,< 1 years,Otros,Pequeña," R, Other"
481,30-44,Mujes,No sabe/No contesta,Nigeria,Master,Data Analyst,< 1 years,Negocios en línea/ventas basadas en Internet,Startup,"Python, SQL"
482,30-44,Hombre,bajo,Colombia,Grado Universitario,Business Analyst,< 1 years,Ventas al por menor,Startup,Python
483,18-29,Hombre,bajo,Bangladesh,Grado Universitario,Data Analyst,< 1 years,Tecnológico,Mediana,"Python, C++"
484,18-29,Hombre,medio,Italia,Grado Universitario,Business Analyst,< 1 years,Servicio en línea/Servicios basados ​​en Internet,Startup," Javascript, Bash"
485,18-29,Hombre,bajo,Rusia,Grado Universitario,Business Analyst,< 1 years,Contabilidad/Finanzas,Multinacional,"Python, R"
486,30-44,Hombre,bajo,India,Master,Business Analyst,< 1 years,ONG/Servicio,Pequeña,Python
487,18-29,Mujes,No sabe/No contesta,India,Master,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, R, SQL"
488,18-29,Hombre,No sabe/No contesta,Brasil,Grado Universitario,Business Analyst,< 1 years,Otros,Startup,"Python, R, SQL, Java, Javascript"
489,18-29,Hombre,No sabe/No contesta,Nigeria,Master,Data Analyst,1-3 years,Fabricación,Pequeña,"Python, MATLAB"
490,18-29,Mujes,No sabe/No contesta,Australia,Master,Data Analyst,3-5 years,Tecnológico,No sabe/No contesta,"Python, SQL, C"
491,30-44,Hombre,medio,China,Master,Data Analyst,3-5 years,Negocios en línea/ventas basadas en Internet,Mediana,"Python, R, SQL"
492,45-59,Hombre,No sabe/No contesta,Egipto,Grado Universitario,Data Analyst,< 1 years,ONG/Servicio,Startup,Python
493,18-29,Hombre,No sabe/No contesta,Egipto,Estudios Univertarios sin licenciatura,Data Analyst,< 1 years,Otros,Startup,Python
494,18-29,Hombre,bajo,China,Grado Universitario,Data Analyst,1-3 years,Tecnológico,Mediana,Python
495,45-59,Mujes,No sabe/No contesta,Japon,Master,Business Analyst,1-3 years,Tecnológico,Startup,"Python, SQL, Javascript"
496,18-29,Mujes,No sabe/No contesta,India,Grado Universitario,Data Analyst,< 1 years,Tecnológico,Startup,Python
497,30-44,Mujes,bajo,Otros,Grado Universitario,Data Analyst,5-10 years,Académico/Educación,Mediana,"Python, SQL, C, C++, Java, Javascript"
498,30-44,Mujes,bajo,Turquia,Master,Business Analyst,10-20 years,Otros,Mediana," R, SQL, C++"
499,18-29,Hombre,bajo,India,Master,Data Analyst,3-5 years,Tecnológico,Multinacional,"Python, SQL, Java"
500,60-70+,Hombre,alto,Estados Unidos,Estudios Univertarios sin licenciatura,Data Analyst,20+ years,Seguro/Evaluación de Riesgos,Multinacional,"Python, R, SQL"
501,45-59,Hombre,No sabe/No contesta,India,Master,Data Analyst,3-5 years,Contabilidad/Finanzas,Startup,"Python, SQL, C"
502,30-44,Mujes,alto,Estados Unidos,Master,Data Analyst,20+ years,Contabilidad/Finanzas,Mediana,"Python, SQL"
503,18-29,Hombre,No sabe/No contesta,Nigeria,Grado Universitario,Data Analyst,1-3 years,Académico/Educación,Startup," R, SQL"
504,30-44,Hombre,bajo,Colombia,Grado Universitario,Data Analyst,1-3 years,Fabricación,Pequeña,"Python, Other"
505,30-44,Mujes,No sabe/No contesta,Estados Unidos,Master,Business Analyst,< 1 years,Académico/Educación,Startup,"Python, R, SQL"
506,30-44,Mujes,medio,China,Grado Universitario,Business Analyst,5-10 years,Energía/Minería,Multinacional,"Python, R, SQL, MATLAB"
507,18-29,Hombre,bajo,India,Grado Universitario,Data Analyst,5-10 years,Contabilidad/Finanzas,Multinacional,"Python, SQL"
508,18-29,Hombre,bajo,Brasil,Master,Data Analyst,1-3 years,Gobierno/servicio público,Grande,"Python, R"
509,30-44,Hombre,No sabe/No contesta,Otros,Estudios Univertarios sin licenciatura,Data Analyst,1-3 years,ONG/Servicio,Startup,"Python, SQL"
510,18-29,Hombre,alto,Estados Unidos,Master,Data Analyst,3-5 years,Fabricación,Mediana,Python
511,18-29,Mujes,bajo,Sri Lanka,Grado Universitario,Data Analyst,< 1 years,Tecnológico,Startup, SQL
512,18-29,Hombre,No sabe/No contesta,India,Estudios Univertarios sin licenciatura,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, Java"
513,18-29,Hombre,No sabe/No contesta,Peru,Grado Universitario,Business Analyst,< 1 years,Energía/Minería,Startup,"Python, SQL, C++"
514,18-29,Hombre,No sabe/No contesta,Otros,Grado Universitario,Data Analyst,< 1 years,Tecnológico,Startup,Python
515,18-29,Mujes,bajo,Brasil,Grado Universitario,Data Analyst,5-10 years,Contabilidad/Finanzas,Grande,"Python, R, SQL"
516,18-29,Hombre,bajo,India,Grado Universitario,Data Analyst,< 1 years,Tecnológico,Mediana,Python
517,60-70+,Hombre,bajo,Reino Unido,Master,Business Analyst,< 1 years,Ventas al por menor,Startup,"Python, R"
518,18-29,Hombre,bajo,Singapur,Grado Universitario,Data Analyst,1-3 years,Tecnológico,Multinacional,"Python, SQL, Javascript"
519,45-59,Hombre,bajo,España,Bachillerato,Data Analyst,< 1 years,Académico/Educación,Startup,Python
520,30-44,Hombre,No sabe/No contesta,Otros,Doctorado,Business Analyst,< 1 years,,No sabe/No contesta,"Python, R"
521,30-44,Mujes,bajo,India,Grado Universitario,Business Analyst,1-3 years,Tecnológico,Startup,"Python, R, SQL, C"
522,18-29,Hombre,No sabe/No contesta,China,Doctorado,Data Analyst,< 1 years,Académico/Educación,Startup,"Python, R, SQL"
523,30-44,Hombre,bajo,India,Master,Data Analyst,< 1 years,Fabricación,Pequeña,Python
524,30-44,Hombre,bajo,Brasil,Grado Universitario,Business Analyst,< 1 years,Contabilidad/Finanzas,Grande," R, SQL"
525,30-44,Hombre,medio,Reino Unido,Grado Universitario,Data Analyst,< 1 years,Tecnológico,Mediana,"Python, SQL, C++"
526,30-44,Hombre,alto,Pakistan,Master,Business Analyst,1-3 years,Tecnológico,Multinacional,"Python, R, SQL"
527,18-29,Hombre,bajo,Brasil,Estudios Univertarios sin licenciatura,Business Analyst,I have never written code,Marketing/CRM,Startup,No sabe/No contesta
528,30-44,Hombre,medio,India,Grado Universitario,Data Analyst,5-10 years,Tecnológico,Multinacional, SQL
529,18-29,Prefiero no decirlo,medio,Otros,Bachillerato,Data Analyst,3-5 years,Ventas al por menor,Grande,"Python, SQL"
530,30-44,Hombre,No sabe/No contesta,Canada,Master,Data Analyst,< 1 years,Fabricación,Pequeña,Python
531,18-29,Hombre,No sabe/No contesta,Colombia,Grado Universitario,Data Analyst,< 1 years,Académico/Educación,Startup,"Python, R, SQL, MATLAB"
532,18-29,Hombre,bajo,India,Master,Business Analyst,3-5 years,Tecnológico,Multinacional,"Python, SQL"
533,18-29,Mujes,bajo,India,Master,Business Analyst,1-3 years,Tecnológico,Startup,"Python, SQL"
534,18-29,Hombre,No sabe/No contesta,Bangladesh,Grado Universitario,Data Analyst,1-3 years,Tecnológico,Startup,"Python, C, C++"
535,30-44,Hombre,bajo,China,Grado Universitario,Data Analyst,5-10 years,Hostelería/Entretenimiento/Deportes,Multinacional,"Python, SQL, Javascript, Other"
536,30-44,Hombre,medio,Francia,Master,Data Analyst,1-3 years,Marketing/CRM,Startup,"Python, R, SQL, Javascript"
537,30-44,Hombre,alto,India,Grado Universitario,Business Analyst,10-20 years,Seguro/Evaluación de Riesgos,Pequeña," R, SQL"
538,60-70+,Mujes,alto,Estados Unidos,Master,Data Analyst,3-5 years,Médico/farmacéutico,Grande,"Python, R, SQL"
539,30-44,Hombre,bajo,Tailandia,Master,Business Analyst,< 1 years,Gobierno/servicio público,Mediana,Python
540,18-29,Mujes,medio,India,Master,Data Analyst,< 1 years,Ventas al por menor,Multinacional,"Python, SQL, C, Java"
541,18-29,Mujes,medio,Singapur,Grado Universitario,Data Analyst,1-3 years,Tecnológico,Multinacional,Python
542,30-44,Hombre,bajo,Emiratos Arabes,Grado Universitario,Data Analyst,1-3 years,Contabilidad/Finanzas,Startup,Python
543,30-44,Hombre,No sabe/No contesta,India,Master,Data Analyst,I have never written code,Médico/farmacéutico,Startup,No sabe/No contesta
544,18-29,Hombre,medio,Brasil,Grado Universitario,Business Analyst,5-10 years,Fabricación,Multinacional,"Python, SQL, Javascript"
545,30-44,Hombre,alto,Japon,Master,Data Analyst,1-3 years,Marketing/CRM,Pequeña,"Python, SQL"
546,18-29,Hombre,No sabe/No contesta,Nigeria,Master,Business Analyst,< 1 years,Marketing/CRM,Startup,"Python, SQL"
547,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Data Analyst,1-3 years,Tecnológico,Startup,"Python, SQL, Java"
548,18-29,Hombre,bajo,India,Grado Universitario,Business Analyst,5-10 years,Tecnológico,Multinacional,"Python, SQL"
549,18-29,Mujes,No sabe/No contesta,Taiwan,Master,Data Analyst,< 1 years,Servicio en línea/Servicios basados ​​en Internet,Pequeña,"Python, R, SQL"
550,18-29,Mujes,alto,Alemania,Master,Data Analyst,< 1 years,Contabilidad/Finanzas,Grande,"Python, SQL"
551,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Data Analyst,1-3 years,Tecnológico,Startup,"Python, C, C++, Java, MATLAB"
552,30-44,Hombre,bajo,Taiwan,Master,Data Analyst,10-20 years,Fabricación,Mediana,"Python, SQL, C++"
553,45-59,Hombre,alto,Italia,Grado Universitario,Business Analyst,5-10 years,Energía/Minería,Mediana,Python
554,18-29,Hombre,medio,India,Grado Universitario,Business Analyst,I have never written code,Médico/farmacéutico,Grande,No sabe/No contesta
555,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Data Analyst,3-5 years,Ventas al por menor,No sabe/No contesta,"Python, SQL"
556,30-44,Hombre,bajo,Egipto,Bachillerato,Business Analyst,< 1 years,Contabilidad/Finanzas,Mediana, SQL
557,18-29,Hombre,alto,India,Grado Universitario,Data Analyst,1-3 years,Ventas al por menor,Multinacional,"Python, SQL"
558,18-29,Mujes,alto,Alemania,Master,Data Analyst,3-5 years,Contabilidad/Finanzas,Multinacional,"Python, R, SQL"
559,30-44,Hombre,bajo,Indonesia,Doctorado,Data Analyst,10-20 years,Tecnológico,Startup," R, SQL"
560,30-44,Hombre,medio,Rusia,Estudios Univertarios sin licenciatura,Data Analyst,< 1 years,Contabilidad/Finanzas,Pequeña,"Python, R, SQL"
561,30-44,Hombre,medio,Brasil,Grado Universitario,Data Analyst,1-3 years,Energía/Minería,Multinacional," R, SQL, Other"
562,18-29,Hombre,bajo,Brasil,Estudios Univertarios sin licenciatura,Data Analyst,1-3 years,Tecnológico,Mediana,"Python, SQL, Java, Javascript, Other"
563,45-59,Hombre,alto,Alemania,Master,Business Analyst,10-20 years,Seguro/Evaluación de Riesgos,Startup,"Python, SQL, Java"
564,18-29,Hombre,No sabe/No contesta,Bangladesh,Grado Universitario,Data Analyst,3-5 years,Otros,Mediana,Python
565,30-44,Hombre,medio,India,Master,Data Analyst,5-10 years,Contabilidad/Finanzas,Multinacional,"Python, SQL, Java"
566,18-29,Hombre,No sabe/No contesta,India,Master,Business Analyst,< 1 years,,No sabe/No contesta,"Python, SQL"
567,30-44,Hombre,medio,India,Master,Data Analyst,< 1 years,Tecnológico,Multinacional, Javascript
568,18-29,Hombre,No sabe/No contesta,India,Master,Data Analyst,3-5 years,,No sabe/No contesta,"Python, SQL, C, C++, Java, Javascript, Bash, MATLAB, Other"
569,30-44,Hombre,alto,Estados Unidos,Grado Universitario,Data Analyst,5-10 years,Fabricación,Mediana,"Python, SQL, Javascript, Bash"
570,30-44,Hombre,No sabe/No contesta,Nigeria,Master,Data Analyst,1-3 years,ONG/Servicio,Startup,"Python, SQL"
571,45-59,Hombre,medio,Argentina,Estudios Univertarios sin licenciatura,Data Analyst,10-20 years,Contabilidad/Finanzas,Grande," R, SQL, Javascript"
572,30-44,Hombre,No sabe/No contesta,Indonesia,Grado Universitario,Data Analyst,1-3 years,Académico/Educación,Grande," R, SQL"
573,18-29,Hombre,bajo,Otros,Grado Universitario,Business Analyst,I have never written code,Ventas al por menor,Multinacional,No sabe/No contesta
574,30-44,Mujes,bajo,India,Master,Data Analyst,3-5 years,Tecnológico,Mediana,Python
575,30-44,Hombre,No sabe/No contesta,India,Master,Data Analyst,5-10 years,Tecnológico,Startup,"Python, R, SQL"
576,18-29,Hombre,bajo,Turquia,Master,Data Analyst,1-3 years,Marketing/CRM,Pequeña,"Python, SQL, Javascript"
577,60-70+,Hombre,No sabe/No contesta,Otros,Master,Data Analyst,< 1 years,Gobierno/servicio público,Pequeña,Python
578,30-44,Hombre,bajo,Ecuador,Master,Data Analyst,< 1 years,Académico/Educación,Pequeña,"Python, R, SQL"
579,18-29,Hombre,No sabe/No contesta,Ghana,Grado Universitario,Data Analyst,1-3 years,Tecnológico,Startup,"Python, SQL"
580,18-29,Hombre,bajo,Peru,Grado Universitario,Business Analyst,1-3 years,Contabilidad/Finanzas,Pequeña,"Python, R, Julia"
581,18-29,Hombre,No sabe/No contesta,India,Master,Data Analyst,1-3 years,,No sabe/No contesta,"Python, R, SQL, Java"
582,30-44,Hombre,No sabe/No contesta,Brasil,Grado Universitario,Business Analyst,3-5 years,Médico/farmacéutico,Pequeña,"Python, SQL, Javascript"
583,45-59,Hombre,alto,Canada,Master,Data Analyst,3-5 years,Fabricación,Pequeña, SQL
584,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Business Analyst,< 1 years,Tecnológico,Multinacional,"Python, SQL, MATLAB"
585,30-44,Hombre,bajo,India,Master,Business Analyst,5-10 years,Fabricación,Pequeña,Python
586,18-29,Hombre,alto,Japon,Grado Universitario,Business Analyst,1-3 years,Contabilidad/Finanzas,Mediana,Python
587,18-29,Mujes,bajo,Pakistan,Grado Universitario,Data Analyst,1-3 years,Gobierno/servicio público,Multinacional, SQL
588,18-29,Hombre,No sabe/No contesta,Etiopia,Master,Data Analyst,< 1 years,,No sabe/No contesta,"Python, Java, MATLAB"
589,18-29,Hombre,No sabe/No contesta,Singapur,Bachillerato,Business Analyst,1-3 years,Envío/Transporte,Pequeña,Python
590,18-29,Hombre,No sabe/No contesta,Colombia,Grado Universitario,Business Analyst,1-3 years,,No sabe/No contesta,"Python, SQL"
591,30-44,Hombre,bajo,Mexico,Estudios Univertarios sin licenciatura,Data Analyst,1-3 years,Tecnológico,Startup,"Python, SQL, Javascript"
592,18-29,Hombre,bajo,India,Grado Universitario,Data Analyst,< 1 years,Tecnológico,Startup," SQL, C, Java"
593,45-59,Prefiero no decirlo,No sabe/No contesta,Estados Unidos,Estudios Univertarios sin licenciatura,Data Analyst,20+ years,Médico/farmacéutico,Multinacional," SQL, Other"
